f_name,a_name,title,lyrics
happy_all/The Irish Rover.mp3,The Pogues ,The Irish Rover,"On the Fourth of July, eighteen hundred and six We set sail from the sweet cove of Cork We were sailing away with a cargo of bricks For the Grand City Hall in New York 'Twas a wonderful craft She was rigged fore-and-aft And oh, how the wild wind drove her She stood several blasts She had twenty seven masts And they called her The Irish Rover  So fare thee well my pretty little girl, I must sail away So fare thee well my pretty little girl, I must sail away  We had one million bags of the best Sligo rags We had two million barrels of stone We had three million sides of old blind horses hides We had four million barrels of bones We had five million hogs And six million dogs Seven million barrels of porter  We had eight million bails of old nanny-goats' tails In the hold of the Irish Rover  So fare thee well my pretty little girl, I must sail away So fare thee well my pretty little girl, I must sail away  There was awl Mickey Coote Who played hard on his flute When the ladies lined up for a set He was tootin' with skill For each sparkling quadrille Though the dancers were fluther'd and bet With his smart witty talk He was cock of the walk And he rolled the dames under and over They all knew at a glance When he took up his stance That he sailed in The Irish Rover  So fare thee well my pretty little girl, I must sail away So fare thee well my pretty little girl, I must sail away  There was Barney McGee From the banks of the Lee There was Hogan from County Tyrone There was Johnny McGurk Who was scared stiff of work And a man from Westmeath called Malone There was Slugger O'Toole Who was drunk as a rule And Fighting Bill Treacy from Dover And your man, Mick MacCann From the banks of the Bann Was the skipper of the Irish Rover  So fare thee well my pretty little girl, I must sail away So fare thee well my pretty little girl, I must sail away  We had sailed seven years When the measles broke out And the ship lost its way in the fog And that whale of a crew Was reduced down to two Just myself and the Captain's old dog Then the ship struck a rock Oh Lord! what a shock The bulkhead was turned right over Turned nine times around And the poor old dog was drowned (sad dog noises badly)  spoken: The dog is drowning you fools! He's crying for help One more time a lot in the back. And the poor old dog was drowned (same as before but better) That's better! I'm the last of The Irish Rover  So fare thee well my pretty little girl, I must sail away So fare thee well my pretty little girl, I must sail away"
happy_all/The Laws Have Changed.mp3,The New Pornographers,The Laws Have Changed,"It was crime at the time, but the laws, we changed 'em Though the hero for hire's forever the same one  Introducing for the first time Pharoah on the microphone. Sing all hail. What'll be revealed today When we peer to the great unknown From the land of the throne  Awakened to cheers after years on the fault line We are shocked to be here in the face of the meantime  Pharaoh, all your methods have taught me Is to separate my blood from bone, it will all fail Feel what I feel today When we peer to the great unknown From the land of the throne  Form a line through here Form a line through here Form a line to the throne Form a line to the throne  Form a line through here Form a line through here Form a line to the throne Form a line to the throne  Alone in the chain, it remains to be seen how How well you can play when the pawn takes a queen now?  Introducing for the first time Pharoah on the microphone. Sing all hail What will be revealed today When we peer into the great unknown From the land of the throne  Sing all hail What will be revealed today When we peer into the great unknown From the land of the throne  Form a line through here Form a line through here Form a line to the throne Form a line to the throne  Form a line through here Form a line through here Form a line to the throne Form a line to the throne  It was crime at the time but the laws have changed, yeah It was crime at the time but the laws have changed, yeah"
happy_all/The Story.mp3,30 Seconds To Mars,The Story,"I've been thinking of everything I used to want to be I've been thinking of everything Of me, of you and me  This is the story of my life These are the lies I have created  This is the story of my life These are the lies I have created  I'm in the middle of nothing And it's where I want to be I'm at the bottom of everything And I finally start to leave  This is the story of my life These are the lies I have created  This is the story of my life These are the lies I have created I created  And I swear to god I've found myself In the end  And I swear to god I've found myself In the end  And I swear to god I've found myself In the end (In the end)  And I swear to god I've found myself In the end (In the end, in the end)  This is the story of my life These are the lies I have created  This is the story of my life These are the lies I have created (I created)  This is the story of my life These are the lies I have created"
happy_all/Timewaster.mp3,Turin Brakes,Timewaster,"Here comes the reveal, So get out of the way There is too much too feel, An emotional landslide  Full of sentiment, But never sentimental I'm a lonely man, Surrounded by people  Pack it up, pack it in This is who I should have been But instead I waste my time (time)  Well I'm a northern star, Here in the darkness I'm a fat cigars Burning embers  Full of sentiment, But never sentimental I'm a lucky man Surrounded by people  Pack it up, pack it in This is who I should have been But instead I waste my time (time)  Ooh woo ooh whoa  Pack it up, pack it in This is who I should have been But instead I waste my time (time)  Pack it up, pack it in This is who I should have been But instead I waste my time (time)"
happy_all/Treehouse.mp3,I'm From Barcelona,Treehouse,I have built a treehouse I have built a treehouse Nobody can see us It's a you and me house  I've been climbing rocks and stones Been collecting broken bones I've been swimming across the lakes Just to find this perfect place I got lost into the woods I've been covered up in mud I've been going through a lot Just to find this perfect spot
happy_all/We Sleep In The Ocean.mp3,The Cloud Room,We Sleep In The Ocean,"We could just leave tomorrow, never ever see any sorrow  And we'll sleep in the ocean, far from all the commotion   And we run and we hide, from the slow assassination tide  And we run and we fight, our skin is our only home tonight  Hey, Hey, Hey the fadeaway   We could sneak out while they're sleeping, resculpt the world the way we dream it  And we'll sleep in the ocean, far from all the commotion"
happy_all/We're From Barcelona.mp3,I'm From Barcelona,We're From Barcelona,I'm gonna sing this song with all of my friends And we're I'm from Barcelona Love is a feeling that we don't understand But we're gonna give it to ya  We'll aim for the stars We'll aim for your heart when the night comes And we'll bring you love You'll be one of us when the night comes  I'm gonna sing this song with all of my friends And we're I'm from Barcelona Love is a feeling that we don't understand But we're gonna give it to ya  We'll aim for the stars We'll aim for your heart when the night comes And we'll bring you love You'll be one of us when the night comes  We'll aim for the stars We'll aim for your heart when the night comes (We're gonna give it to ya) And we'll bring you love You'll be one of us when the night comes (We're gonna give it to ya) (We're gonna give it to ya) (We're gonna give it to ya)
happy_all/When The Night Feels My Song.mp3,Bedouin Soundclash,When The Night Feels My Song,"I'm on the rocky road Heading down off the mountain slope And as my steps echo echo, Louder than before Another day is done, Say goodbye to the setting sun See what I found, Turn back to the ground Just like before  And Hey hey hey hey hey hey Hey beautiful day, hey beautiful day Hey hey hey hey Hey beautiful day, hey beautiful day When the night feels my song I'll be home, I'll be home  Into the undergrowth, Twist and turn on a lonely road In the twilight The day turns to night And I'm alone  And when the light has let I'm not sure of my every step Follow the wind that pushes me west Back to my bed  And Hey hey hey hey hey hey Hey beautiful day, hey beautiful day Hey hey hey hey Hey beautiful day, hey beautiful day  When the night feels my song I'll be home, I'll be home When the night feels my song I'll be home, I'll be home When the night feels my song I'll be home, I'll be home"
happy_all/Wild at Heart.mp3,Gloriana,Wild At Heart (Album Version),"Down a back road Long, hot summer A couple kids running loose and wild He kissed her She said mister, Take an inch and I'll give you a mile  I aing t here to do anything half-way Dong t give a damn what anyone might say I just wanna free fall for a while  That rebel moon is shining Those stars burn like diamonds Hell bent on chasing down that crazy spark I'll follow you where you're leading To the first sweet taste of freedom You got me running baby, Wild at heart  About midnight, he tells her I aing t got no come-on lines Well I'll love you, or I'll try to We got nothing to lose but time  Stick your hand into my back pocket Light me up like a bottle rocket I just wanna free fall for a while  That rebel moon is shining  Those stars burn like diamonds Hell bent on chasing down that crazy spark I'll follow you where you're leading  To the first sweet taste of freedom You got me running baby, Wild at heart  O-oh, alright Tonight is telling us we're way too young  O-oh, that's alright I've forever on the tip of my tongue  That rebel moon is shining  Those stars burn like diamonds Hell bent on chasing down that crazy spark I'll follow you where you're leading To the first sweet taste of freedom You got me running baby, Wild at heart  That rebel moon is shining  Those stars burn like diamonds Hell bent on chasing down that crazy spark I'll follow you where you're leading To the first sweet taste of freedom You got me running baby, You got me running baby, Wild at heart  O-oh, alright."
happy_all/Wonderlust King.mp3,Gogol Bordello,Wonderlust King,"Back in the day yo as we learned A man was not considered to be Considered to be fully grown Has he not gone-a beyond the hills Has he not crossed the seven seas Yeah, seven seas at least!  Now all them jokers kept around Just like the scarecrows in hometown Yeah, scarecrows in hometown From screen to screen they're travelin' But I'm a wonderlust king  I stay on the run Let me out Let me be gone In the world's beat up road sign I saw new history of time New history of time  Through Siberian woods Breaking up their neck Chinese moving in building discotheques Trans-Siberian sex toys and whatnot Yeah, and why not? Well at least it's something different From what they got in every other airport  Я не еврей, но кое-что похоже Соврать не даст ни Юра, ни Сережа! Simple because I'm not a total gadjo Да я шут, я трюкач, ну так что же?  I traveled the world Looking for understanding Of the times that we live in Hunting and gathering first hand information Challenging definitions of sin  I traveled the world Looking for lovers Of the ultimate beauty But never settled in I am a wonderlust king!  I stay on the run Let me out Let me be gone In the world's beat up road sign I saw new history of time New history of time  And presidents And billionaires And generals They'll never know They'll never know What I have owned What I have owned I am a wonderlust king!"
happy_all/World Clique.mp3,Deee-Lite,World Clique (LP Version),"We don't need a clique To make our clock tick Our clique is the world The world is our clique  We don't have to fit In your fixed trip Our clique is the world The world is our trip  We don't need a clique To make our clock tick Our clique is the world The world is our clique  World clique, world clique World clique, world clique  Small clique is like a jip in line It happens all the time but it's limited World clique is like a skip through time It's fine and I'm digging it  I don't have to squeeze Just to appease your dream My peace is the world The world is a clique  The world is our clique The world is a clique World clique, world clique"
happy_all/You Are The Only One I Love.mp3,Jaymay,You Are The Only One I Love,"The first time that I met you I knew One day I would know you even better When people tried to tell me ""Do not fall for him"" I told myself ""Don't let them get to you""  You are the only one I love You are the only one I love You are the only one I love to love  You are the only one I love You are the only one I love You are the only one  The first thing that you said to me was ""Jamie I love you, Jamie I love you, Jamie, Jamie, I love you"" And I've never been one to believe in love at first sight But now I know it exists  You are the only one I love You are the only one I love You are the only one I love to love  You are the only one I love You are the only one I love You are the only one  We went for walks through leaves in parks Your winter sleeve was pulled over my hand Don't you know I thought of you when on St. Mark's I saw some other man collecting cans  You are the only one I love You are the only one I love You are the only one I love to love  You are the only one I love You are the only one I love You are the only one"
